,리뷰,별점,리뷰자 평균 평점,리뷰자 누적 리뷰 개수,영업 시간,이미지url,가게명,가게 주소,메뉴,카카오 url,업종
6,무난한 맛. 특별히 맛있거나 하진 않습니다,3,4.0,78,매일 13:00 ~ 02:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9F1C022949AC45C09F01386E7413DA37',호재래,울산 중구 중앙길 77 (우)44529,양꼬치 (20개) 양갈비 늑간살 (15개) 새우꼬치 (10개) 탕수육,https://place.map.kakao.com/15969236,양꼬치
7,무난하게 맛남  가게가 좀 허름하고 주차가 힘듬,3,2.9,84,매일 13:00 ~ 02:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9F1C022949AC45C09F01386E7413DA37',호재래,울산 중구 중앙길 77 (우)44529,양꼬치 (20개) 양갈비 늑간살 (15개) 새우꼬치 (10개) 탕수육,https://place.map.kakao.com/15969236,양꼬치
8,뭐 걍걍,2,3.1,322,매일 13:00 ~ 02:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9F1C022949AC45C09F01386E7413DA37',호재래,울산 중구 중앙길 77 (우)44529,양꼬치 (20개) 양갈비 늑간살 (15개) 새우꼬치 (10개) 탕수육,https://place.map.kakao.com/15969236,양꼬치
9,,5,5.0,381,매일 13:00 ~ 02:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9F1C022949AC45C09F01386E7413DA37',호재래,울산 중구 중앙길 77 (우)44529,양꼬치 (20개) 양갈비 늑간살 (15개) 새우꼬치 (10개) 탕수육,https://place.map.kakao.com/15969236,양꼬치
10,울산 최고 양꼬치 집,5,5.0,1,매일 13:00 ~ 02:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9F1C022949AC45C09F01386E7413DA37',호재래,울산 중구 중앙길 77 (우)44529,양꼬치 (20개) 양갈비 늑간살 (15개) 새우꼬치 (10개) 탕수육,https://place.map.kakao.com/15969236,양꼬치
11,,3,4.2,224,매일 13:00 ~ 02:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9F1C022949AC45C09F01386E7413DA37',호재래,울산 중구 중앙길 77 (우)44529,양꼬치 (20개) 양갈비 늑간살 (15개) 새우꼬치 (10개) 탕수육,https://place.map.kakao.com/15969236,양꼬치
12,괜찮은 양꼬치집,2,3.2,106,매일 13:00 ~ 02:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9F1C022949AC45C09F01386E7413DA37',호재래,울산 중구 중앙길 77 (우)44529,양꼬치 (20개) 양갈비 늑간살 (15개) 새우꼬치 (10개) 탕수육,https://place.map.kakao.com/15969236,양꼬치
0,잡내나지 않고 양고기가 부드러워요. 직접 구워주니까 더 편해요,4,3.8,66,매일 17:00 ~ 01:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAB19D0AC0A8A472F920BF393ABD34D01',징기스 달동삼성점,울산 남구 삼산로144번길 18-13 (우)44725,양갈비 (120g) 양고기 (120g) 양특수부위 (120g) 양감자탕 명란오차즈케,https://place.map.kakao.com/1585578833,"육류,고기"
1,,5,4.9,36,매일 17:00 ~ 01:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAB19D0AC0A8A472F920BF393ABD34D01',징기스 달동삼성점,울산 남구 삼산로144번길 18-13 (우)44725,양갈비 (120g) 양고기 (120g) 양특수부위 (120g) 양감자탕 명란오차즈케,https://place.map.kakao.com/1585578833,"육류,고기"
2,,5,3.7,38,매일 17:00 ~ 01:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAB19D0AC0A8A472F920BF393ABD34D01',징기스 달동삼성점,울산 남구 삼산로144번길 18-13 (우)44725,양갈비 (120g) 양고기 (120g) 양특수부위 (120g) 양감자탕 명란오차즈케,https://place.map.kakao.com/1585578833,"육류,고기"
3,,4,3.4,364,매일 17:00 ~ 01:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAB19D0AC0A8A472F920BF393ABD34D01',징기스 달동삼성점,울산 남구 삼산로144번길 18-13 (우)44725,양갈비 (120g) 양고기 (120g) 양특수부위 (120g) 양감자탕 명란오차즈케,https://place.map.kakao.com/1585578833,"육류,고기"
4,고기 맛있어요,4,4.0,1,매일 17:00 ~ 01:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAB19D0AC0A8A472F920BF393ABD34D01',징기스 달동삼성점,울산 남구 삼산로144번길 18-13 (우)44725,양갈비 (120g) 양고기 (120g) 양특수부위 (120g) 양감자탕 명란오차즈케,https://place.map.kakao.com/1585578833,"육류,고기"
0,고기 넘 잘 구워주시고 입구부터 나갈 때까지 서비스 대만족이요! 고기 맛은 말할 것도 없구요!^^,5,4.1,9,월~토 17:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F270DE84756A03B761B',야마짱 울산점,울산 남구 왕생로20번길 17 (우)44721,와규(특) 꽃갈비(100g) 와규 스테이크(100g) 차돌박이(100g) 야끼 슬라이스(100g) 와규 등심(100g) 와규 살치살(100g) 와규 특선모듬 2인용(400g) 와규 특선모듬 3인용(600g) 와규 안창살(100g) 우설 (100g) 특양(100g) 대창(100g) 항정살(100g) 양갈비(150g),https://place.map.kakao.com/27347274,"육류,고기"
0,보쌈 고기 사진에 나온 저 양이 3만4천원 2인분입니다. 많아보이게 넓게 펴 놔서 그렇지 실제 양은 좀 적습니다. 맛은 평범했어요. 쟁반국수도 시켰는데 맛은 쏘쏘했습니다. 가게는 깔끔한 편이고 주차장 잘 되어 있습니다.,3,4.0,2,월~토 15:30 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9C7F74B77E0B4EDFA2A054D497058F38',최고집보쌈 명촌직영점,울산 북구 명촌3길 13-1 1층 (우)44254,생굴 보쌈(1인분) 쟁반국수(소) 홍어 김치찌개,https://place.map.kakao.com/1281807098,"족발,보쌈"
1,소문 듣고 왔습니다ㅎㅎ,5,3.8,93,월~토 15:30 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9C7F74B77E0B4EDFA2A054D497058F38',최고집보쌈 명촌직영점,울산 북구 명촌3길 13-1 1층 (우)44254,생굴 보쌈(1인분) 쟁반국수(소) 홍어 김치찌개,https://place.map.kakao.com/1281807098,"족발,보쌈"
2,덕력을 보쌈에도 쏟으신다는 그곳,5,3.9,115,월~토 15:30 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9C7F74B77E0B4EDFA2A054D497058F38',최고집보쌈 명촌직영점,울산 북구 명촌3길 13-1 1층 (우)44254,생굴 보쌈(1인분) 쟁반국수(소) 홍어 김치찌개,https://place.map.kakao.com/1281807098,"족발,보쌈"
3,여기가 거기네요 !!!!!,5,4.2,48,월~토 15:30 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9C7F74B77E0B4EDFA2A054D497058F38',최고집보쌈 명촌직영점,울산 북구 명촌3길 13-1 1층 (우)44254,생굴 보쌈(1인분) 쟁반국수(소) 홍어 김치찌개,https://place.map.kakao.com/1281807098,"족발,보쌈"
4,여기가 거기?,5,3.5,86,월~토 15:30 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9C7F74B77E0B4EDFA2A054D497058F38',최고집보쌈 명촌직영점,울산 북구 명촌3길 13-1 1층 (우)44254,생굴 보쌈(1인분) 쟁반국수(소) 홍어 김치찌개,https://place.map.kakao.com/1281807098,"족발,보쌈"
0,2022.04.03 방문느끼하다길래 죠금 불안했음 근디뭐가 느끼하다는 지 하나도 모르겠음배도 적당히 부른뎅?갠적으로 뇨끼가 진짜맛있었음! 스테이크도 부드러웠음불만만 많으신분들 걍 국밥드셔야할듯?,5,3.9,116,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
1,자주 가는 곳 ~ !,5,4.9,67,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
2,한달 전쯤 1층에 자리 없어서 2층을 이용했는데 직원분들 정말 친절하고 분위기가 좋았어요 음식도 맛있었고 너무 기분좋게 먹고 나와서 주위에도 추천하고 다녀요 굿굿,5,4.1,17,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
3,맛있어요,5,4.6,5,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
4,맛있다고 해서 갔는데 간이 안되어있고 모든 음식이 느끼했습니다. 가격은 비싼데 맛은 평범 이하입니다.,1,1.0,2,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
5,비싸고 양이 적어요 맛은 평범 분위기는 좋은데 직원분 서비스가 아쉽네요,3,3.9,49,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
6,뇨끼 에바 아니냐너무 느끼하다. 리마리오 데려와도 이건 못먹어그래도  리조또는 잘 먹었다본죽에서 닭죽 사와서 부은거 같은데그래도 분위기 때문에 봐줍니다,2,2.2,90,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
7,나는 뇨끼 생각보다 별로였음 그냥 파스타 시킬껄한번쯤 먹어볼만한 뇨끼 ㅇㅇ 맛은있었다치킨리조또는 처음엔 맛있었는데 점점 닭죽느낌분위기가 정말 좋다,4,3.3,167,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
8,크림 진짜 맛있음,5,4.8,9,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
9,가격이 센만큼 맛있네요!뇨끼를 못먹어서 아쉽네요ㅜㅜ 또 가야징주차장이 협소하긴 해요~,4,4.1,55,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
10,맛있게 먹었습니다 다음에 울산 올 일 있으면 다른 메뉴도 먹어보고 싶네요!,5,3.4,30,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
11,존맛,5,3.9,40,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
12,다녀온지 좀 된 집인데 다 맛있었던걸로 기억함 직원분이 친절하고 가게가 깨끗했음,5,4.5,281,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
13,"맛있는 식전빵, 맛있는 뇨끼",4,4.0,1,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
14,맛나유 기맥히요,5,3.9,11,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
15,"분위기 좋고 식사도 너무 맛있었습니다 :) 연어스테이크, 라자냐 먹었는데 둘 다 맛있었어요. 번창하시길 ㅎㅎ",5,3.7,29,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
16,분위기도 좋고 음식맛도좋네요. 기대안하고 시킨 리조또 제일맛있었어요 ㅋㅋ 라스트오더가 8시 30이라 조금 아쉬웠던거빼곤 대만족입니다,5,4.3,35,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
17,맛있었어요,5,3.2,6,화~일 11:00 ~ 22:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF61744FD400546F3AF63D315C45E01BD',부조화,울산 남구 돋질로239번길 29-1 2층 (우)44701,안심 스테이크 (200g) 라자냐 전복 리조또 구운 야채 샐러드,https://place.map.kakao.com/676085501,양식
0,"브레이크타임에도 불구하고 다섯식구 불편함 없이 받아주신 향토불고기 사장님이하 직원분들께 감사드립니다. 거두절미 재방문의사 충분히 있으며, 계묘년 번창 하시길 기원드립니다^^",5,2.3,6,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
1,언양불고기 진짜 맛있어요!!직원분들도 친절하시고 음식이 맛에 비해 저렴해요!!주차 공간도 많아서 편했어요~~,5,3.5,4,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
2,기다리지않아도 맛난거먹을수있다요.불고기도맛난데 육회가 씽씽 된장도 엄청맛남,4,4.6,25,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
3,여기가 사람도적고 기와집보다 맛있어요,5,4.2,36,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
4,밑반찬들도 짜지 않고 맛있고된장찌게도 맛있고전체적으로 간이 쎄지 않고 깔끔하고 맛있어요^^,4,3.7,26,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
5,유명한 집을 가려다 선택한 집건물 깔끔하고실내도 깔끔합니다음식도 맛있었습니다,5,2.6,5,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
6,음식사진 잘 못찍는데.. 맛 좋네요. 직원분들도 친절합니다.,5,3.9,20,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
7,설 당일에 문 열어서 너무 좋았어용직원분들 친절하시고 불고기 육회 다 맛있어용,5,3.9,21,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
8,손님 많아서 바쁜것도 아닌데 주문 누락돼서 밥이랑 된장찌개 한참을 기다림 근데 아무도 사과안하고 그렇게 기다린 시간이 아깝지않을만큼 맛있는 맛도 아님 절대 다시안올듯,1,3.0,4,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
9,된장찌개랑 밑반찬이 진짜 맛있어요.. 과하게 달거나 짜지 않아 조미료 없는 전통손맛이 느껴져서 건강하게 잘 먹었구 재방문 및 주변에 추천할 의사 있습니다,5,3.8,19,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
10,,1,3.0,2,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
11,가성비좋고 음식하나하나 맛있어서 배부르게잘먹었어요 한끼 든든히잘먹었어요!! 언양 가면 향토 불고기 추천해여~! 양도 푸짐하고 가격도 괜찮고 맛까지 굿굿,5,5.0,89,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
12,아우 사장님 너무맛있어요 최고의맛서울사는데 또올거에요 꼭.~~~~,5,5.0,7,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
13,조금 비싼느낌이지만 짜지않고 불향 나는게 맛있어요.,4,4.0,76,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
14,친절goood음식맛gooood분이기도gooood,4,4.3,3,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
15,,4,3.8,164,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
16,지인짜 맛있어요 ㅈㅁ보다 맛있습니다 반찬들도 된장찌개도 진짜 맛있고 간이 다 안세서 좋아요 ㅈㅁ처럼 달고짜고 자극적인 맛 좋아하시는 분들은 별로일 수도 있어요 된장찌개가 고기들었는데 천원이고 음료수도 병인데 천원이고 가격도 착해요 직원 분들도 다들 친절하셔요 맛있게 잘 먹었습니다,5,4.1,64,매일 11:00 ~ 21:30,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB5DCB1EAACA34CFC9A77ED165293090E',언양향토불고기,울산 울주군 삼남읍 울산역로 356 (우)44947,언양석쇠불고기 (1인분) 등심 (1인분) 낙엽살 (1인분) 갈비살 (1인분) 육회 (200g),https://place.map.kakao.com/9595201,"불고기,두루치기"
